question_id,match,raw_question,market_type,base_prob,market_prob,model_prob,context_adj,confidence,expected_field_prob,model_family,team,opponent,player,threshold,stat,period,evidence_score,alpha_team,alpha_opp,model_market_weight,team_sot_evidence_score,opp_sot_evidence_score,team_is_chasing_underdog,opp_is_chasing_underdog,underdog_chasing_2h_share,second_half_team_bump,second_half_opp_bump,mu_team,mu_opp,mu_team_2h,mu_opp_2h,penalty_prob,red_card_prob,overlap_multiplier,referee_multiplier,discipline_multiplier,match_importance_multiplier,team_sot_mu_topdown,team_sot_mu_bottomup,team_sot_gate_mu,team_sot_gate_divergence,team_sot_gate_flag,team_sot_gate_note,team_sot_context_multiplier,team_sot_context_capped_multiplier,team_sot_context_flag,team_sot_context_note,lambda_team,lambda_opp,engine_derivation,lambda_team_2h,lambda_team_1h,generated_model_probability,used_model_probability,anchor_probability,shrink_coeff,raw_probability,shrunk_probability,final_probability,submit_probability_0_100,edge_vs_expected_field,red_team_flags,update_triggers
1,Norway-Senegal,Will Senegal be caught offside 2 or more times?,team_stat,0.48,,,0,medium_high,,threshold_nb,Senegal,Norway,,2,offsides,full,0.72,0.30,,,,,,,,,,1.8500,,,,,,,,,,,,,,,,,,,,,,,,,0.4973,0.4973,0.4800,0.86,0.4887,0.4875,0.4875,49,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
2,Norway-Senegal,Will Norway score more goals than Senegal in the second half?,period_specific,0.35,,,0,medium,,second_half_relative_nb,Norway,Senegal,,,goals,2H,0.70,0.35,0.35,,,,,,,,,,,0.8215,0.7000,,,,,,,,,,,,,,,,,1.5500,1.2500,2H_relative_nb_from_goal_lambdas_NOR_1.55_SEN_1.25,,,0.3454,0.3454,0.3500,0.85,0.3479,0.3482,0.3482,35,,Noisy market with strong probability: verify lineup/game-state sensitivity.,lineups; injuries/suspensions; referee; weather; tactical news; market move
3,Norway-Senegal,Will a penalty kick be awarded OR a red card be shown in the match?,rare_event,0.42,,,0,medium_high,,rare_penalty_or_red,Both,Both,,,penalty_or_red,full,0.78,,,,,,,,,,,,,,,0.2800,0.2000,0.3000,1.1500,1.2000,1.0500,,,,,,,,,,,,,Sampaio high-card/red profile + must-win pressure,,,0.5985,0.5985,0.4200,0.89,0.4557,0.4518,0.4518,45,,"Rare event probability is high: check base rate, referee and narrative bias.",lineups; injuries/suspensions; referee; weather; tactical news; market move
4,Norway-Senegal,Will Senegal commit more fouls than Norway?,team_stat,0.58,,,0,medium_high,,relative_nb,Senegal,Norway,,,fouls,full,0.72,0.18,0.18,,,,,,,,,14.2000,10.7000,,,,,,,,,,,,,,,,,,,,,,,,0.6262,0.6262,0.5800,0.86,0.6031,0.5999,0.5999,60,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
5,Norway-Senegal,Will there be 4 or more total shots on target in the second half?,period_specific,0.58,,,0,medium_high,,threshold_nb,Both,Both,,4,sot,2H,0.74,0.24,,,,,,,,,,4.6500,,,,,,,,,,4.9000,4.4000,4.6500,0.1020,OK,Team-level 2H SOT total from Norway/Senegal gated SOT and 2H shares,1.0000,1.0000,OK,,,,,,,0.5845,0.5845,0.5800,0.87,0.5820,0.5818,0.5818,58,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
6,Norway-Senegal,Will Norway win the match?,match_outcome,0.43,0.4320,,0,very_high,,match_poisson_win,Norway,Senegal,,,goals,full,0.90,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5500,1.2500,,,,0.4347,0.4347,0.4316,1.00,0.4321,0.4321,0.4321,43,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
7,Norway-Senegal,"At halftime, will the match be tied?",period_specific,0.41,0.4060,0.4084,0,high,,,Both,Both,,,goals,1H,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5500,1.2500,HT_draw_poisson_from_1H_lambdas_NOR_0.6975_SEN_0.5500,,0.6975,,0.4084,0.4080,0.92,0.4085,0.4084,0.4084,41,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
8,Norway-Senegal,Will there be 9 or more total corner kicks?,team_stat,0.54,,,0,medium,,threshold_nb,Both,Both,,9,corners,full,0.68,0.16,,,,,,,,,,9.6500,,,,,,,,,,,,,,,,,,,,,,,,,0.5398,0.5398,0.5400,0.84,0.5399,0.5399,0.5399,54,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
9,Norway-Senegal,Will Norway have 6 or more shots on target?,team_stat,0.43,,,0,medium_high,,threshold_nb,Norway,Senegal,,6,sot,full,0.75,0.23,,,,,,,,,,5.2500,,,,,,,,,,5.6000,4.9000,5.2500,0.1250,OK,Norway SOT gated down versus stronger Senegal defense,1.1500,1.1500,OK,,,,,,,0.4046,0.4046,0.4300,0.88,0.4173,0.4189,0.4189,42,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
10,Norway-Senegal,Will Sadio Mané score a goal (excluding own goals)?,player_prop,0.27,0.2700,0.2592,0,medium_high,,,Senegal,Norway,Sadio Mané,1,goal,full,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2500,Mane anytime market 3.40 + Senegal goal lambda/player goal share,,,,0.2592,0.2700,0.89,0.2662,0.2666,0.2666,27,,,lineups; injuries/suspensions; referee; weather; tactical news; market move
