question_id,raw_question,submit_probability_0_100,final_probability,generated_model_probability,used_model_probability,anchor_probability,red_team_flags
1,Will Senegal be caught offside 2 or more times?,49,0.4875,0.4973,0.4973,0.48,
2,Will Norway score more goals than Senegal in the second half?,35,0.3482,0.3454,0.3454,0.35,Noisy market with strong probability: verify lineup/game-state sensitivity.
3,Will a penalty kick be awarded OR a red card be shown in the match?,45,0.4518,0.5985,0.5985,0.42,"Rare event probability is high: check base rate, referee and narrative bias."
4,Will Senegal commit more fouls than Norway?,60,0.5999,0.6262,0.6262,0.58,
5,Will there be 4 or more total shots on target in the second half?,58,0.5818,0.5845,0.5845,0.58,
6,Will Norway win the match?,43,0.4321,0.4347,0.4347,0.4316,
7,"At halftime, will the match be tied?",41,0.4084,,0.4084,0.408,
8,Will there be 9 or more total corner kicks?,54,0.5399,0.5398,0.5398,0.54,
9,Will Norway have 6 or more shots on target?,42,0.4189,0.4046,0.4046,0.43,
10,Will Sadio Mané score a goal (excluding own goals)?,27,0.2666,,0.2592,0.27,
